dataset,nsgl_p2,nsgl_p4,nsgl_p8,nsgl_p16,nsgl_p32,nsgl_p64
ACO,9.188,9.094,9.277,9.035,9.258,9.797
aircraft,5.590,5.582,5.629,5.887,6.055,6.605
APH,7.078,6.938,6.672,7.094,7.309,7.762
co_author_8391,5.828,5.777,5.625,5.828,6.145,6.508
com-amazon,32.320,32.113,32.352,32.184,32.145,32.184
com-dblp,33.266,33.246,33.406,33.281,33.391,33.227
com-lj,694.125,694.004,693.660,693.984,694.164,693.648
com-orkut,1915.680,1915.902,1915.871,1915.938,1915.930,1915.676
com-youtube,95.621,95.672,95.566,95.781,95.773,95.719
socfb-UF21,28.508,28.457,28.336,28.457,28.699,29.215
socfb-Yale4,11.422,11.375,11.348,11.695,11.539,12.078
soc-Flickr-ASU,97.777,97.742,97.676,98.129,97.965,98.586
